Model,Attribution Technique,task_type,del(AttAUROC)
gcn,Random,logic7,0.15303030303030302
gcn,Random,logic7,-0.19696969696969707
gcn,Random,logic7,-0.06666666666666676
gcn,Random,logic7,-0.3015873015873016
gcn,Random,logic7,-0.1515151515151516
gcn,Random,logic7,-0.3766666666666667
gcn,Random,logic7,-0.1515151515151516
gcn,Random,logic7,-0.2121212121212122
gcn,Random,logic7,-0.40909090909090917
gcn,Random,logic7,-0.20634920634920645
gcn,Random,logic7,-0.16666666666666674
gcn,Random,logic7,-0.03518518518518515
gcn,Random,logic7,-0.09746588693957114
gcn,Random,logic7,-0.02729044834307992
gcn,Random,logic7,0.0037037037037037646
gcn,Random,logic7,-0.20185185185185184
gcn,Random,logic7,-0.3255360623781676
gcn,Random,logic7,-0.22027290448343073
gcn,Random,logic7,0.03703703703703709
gcn,Random,logic7,0.04814814814814816
gcn,Random,logic7,-0.23518518518518516
gcn,Random,logic7,-0.017272727272727217
gcn,Random,logic7,0.04055555555555557
gcn,Random,logic7,0.030289855072463734
gcn,Random,logic7,0.09611111111111109
gcn,Random,logic7,-0.05363636363636365
gcn,Random,logic7,0.0822222222222222
gcn,Random,logic7,0.24888888888888883
gcn,Random,logic7,0.12388888888888883
gcn,Random,logic7,0.05927536231884056
gcn,Random,logic7,0.13777777777777778
gcn,Random,logic7,-0.09523809523809523
gcn,Random,logic7,0.1547619047619047
gcn,Random,logic7,-0.11746031746031738
gcn,Random,logic7,-0.18412698412698414
gcn,Random,logic7,-0.16190476190476188
gcn,Random,logic7,0.09226190476190471
gcn,Random,logic7,0.19642857142857145
gcn,Random,logic7,0.17559523809523808
gcn,Random,logic7,0.07142857142857145
gcn,Random,logic7,0.2172619047619047
gcn,Random,logic7,0.06644880174291934
gcn,Random,logic7,-0.03199174406604749
gcn,Random,logic7,-0.049535603715170295
gcn,Random,logic7,0.12590299277605776
gcn,Random,logic7,0.09081527347781215
gcn,Random,logic7,-0.15479876160990713
gcn,Random,logic7,-0.15479876160990713
gcn,Random,logic7,0.1960784313725491
gcn,Random,logic7,-0.18988648090815274
gcn,Random,logic7,-0.3779956427015251
gcn,Random,logic7,0.16594516594516595
gcn,Random,logic7,0.24499654934437542
gcn,Random,logic7,0.16594516594516595
gcn,Random,logic7,0.16594516594516595
gcn,Random,logic7,0.04209799861973773
gcn,Random,logic7,0.1725327812284334
gcn,Random,logic7,0.16594516594516595
gcn,Random,logic7,0.15804002760524505
gcn,Random,logic7,0.20151828847481024
gcn,Random,logic7,0.1725327812284334
gcn,Random,logic7,0.1294903926482875
gcn,Random,logic7,0.018379281537176273
gcn,Random,logic7,0.002506265664160401
gcn,Random,logic7,0.19298245614035098
gcn,Random,logic7,-0.09273182957393483
gcn,Random,logic7,-0.013366750208855471
gcn,Random,logic7,0.1453634085213033
gcn,Random,logic7,0.034252297410192145
gcn,Random,logic7,-0.09273182957393478
gcn,Random,logic7,-0.1570175438596491
gcn,Random,logic7,-0.1938178780284044
gcn,Random,logic7,-0.050960735171261484
gcn,Random,logic7,-0.06683375104427741
gcn,Random,logic7,-0.08270676691729328
gcn,Random,logic7,0.29824561403508776
gcn,Random,logic7,-0.09857978279030916
gcn,Random,logic7,0.21888053467000823
gcn,Random,logic7,0.23475355054302416
gcn,Random,logic7,0.06015037593984962
gcn,Random,logic7,-0.019214703425229795
gcn,Random,logic7,0.15622389306599832
gcn,Random,logic7,0.37844611528822053
gcn,Random,logic7,0.21971595655806186
gcn,Random,logic7,0.17209690893901425
gcn,Random,logic7,0.32368421052631574
gcn,Random,logic7,0.2197159565580618
gcn,Random,logic7,0.2673350041771094
gcn,Random,logic7,0.31495405179615704
gcn,Random,logic7,0.4260651629072682
gcn,Random,logic7,-0.05012531328320802
gcn,Random,logic7,0.2615384615384615
gcn,Random,logic7,0.30494505494505497
gcn,Random,logic7,0.28034188034188035
gcn,Random,logic7,0.2581196581196582
gcn,Random,logic7,0.15384615384615388
gcn,Random,logic7,0.10256410256410256
gcn,Random,logic7,0.2692307692307693
gcn,Random,logic7,0.2307692307692308
gcn,Random,logic7,0.347008547008547
gcn,Random,logic7,0.3025641025641026
gcn,Random,logic7,-0.037518037518037506
gcn,Random,logic7,0.10213940648723269
gcn,Random,logic7,-0.15873015873015867
gcn,Random,logic7,0.2615596963423051
gcn,Random,logic7,-0.07177363699102829
gcn,Random,logic7,-0.07177363699102829
gcn,Random,logic7,0.04416839199447892
gcn,Random,logic7,-0.08626639061421665
gcn,Random,logic7,-0.022366522366522312
gcn,Random,logic7,0.07315389924085575
gcn,Random,logic7,-0.04580896686159841
gcn,Random,logic7,0.07962962962962972
gcn,Random,logic7,-0.0037037037037036535
gcn,Random,logic7,-0.020370370370370372
gcn,Random,logic7,-0.18615984405458086
gcn,Random,logic7,-0.037037037037037035
gcn,Random,logic7,0.012962962962963065
gcn,Random,logic7,0.11296296296296293
gcn,Random,logic7,0.09629629629629632
gcn,Random,logic7,-0.137037037037037
gcn,Random,logic7,0.09022556390977449
gcn,Random,logic7,-0.036758563074352546
gcn,Random,logic7,-0.02088554720133662
gcn,Random,logic7,0.2013366750208856
gcn,Random,logic7,0.11403508771929827
gcn,Random,logic7,-0.25898078529657476
gcn,Random,logic7,-0.08070175438596489
gcn,Random,logic7,0.01086048454469507
gcn,Random,logic7,-0.02088554720133662
gcn,Random,logic7,0.15371762740183792
gcn,Random,logic7,0.11027568922305764
gcn,Random,logic7,-0.03258145363408527
gcn,Random,logic7,-0.08020050125313283
gcn,Random,logic7,-0.1421052631578948
gcn,Random,logic7,-0.2548036758563075
gcn,Random,logic7,-0.09607351712614876
gcn,Random,logic7,0.07456140350877183
gcn,Random,logic7,0.04678362573099415
gcn,Random,logic7,-0.01670843776106934
gcn,Random,logic7,0.007894736842105177
gcn,Random,logic7,0.20202020202020202
gcn,Random,logic7,0.2159090909090909
gcn,Random,logic7,0.19235836627140976
gcn,Random,logic7,0.36627140974967065
gcn,Random,logic7,0.03293807641633731
gcn,Random,logic7,0.28535353535353525
gcn,Random,logic7,0.16337285902503298
gcn,Random,logic7,0.06313131313131312
gcn,Random,logic7,0.2297979797979798
gcn,Random,logic7,0.15757575757575756
gcn,Random,logic7,0.19254658385093165
gcn,Random,logic7,0.4244306418219462
gcn,Random,logic7,0.14906832298136635
gcn,Random,logic7,0.30848861283643886
gcn,Random,logic7,0.23602484472049695
gcn,Random,logic7,0.19254658385093165
gcn,Random,logic7,-0.1407867494824017
gcn,Random,logic7,0.22153209109730848
gcn,Random,logic7,0.047619047619047616
gcn,Random,logic7,0.26501035196687367
gcn,Random,logic7,-0.13030303030303025
gcn,Random,logic7,0.23333333333333334
gcn,Random,logic7,-0.03333333333333327
gcn,Random,logic7,0.15396825396825403
gcn,Random,logic7,0.036666666666666736
gcn,Random,logic7,-0.023333333333333317
gcn,Random,logic7,0.06666666666666671
gcn,Random,logic7,0.18787878787878792
gcn,Random,logic7,0.036363636363636376
gcn,Random,logic7,0.12222222222222229
gcn,Random,logic7,-0.008333333333333304
gcn,Random,logic7,-0.01851851851851849
gcn,Random,logic7,0.07407407407407407
gcn,Random,logic7,0.12962962962962965
gcn,Random,logic7,0.25925925925925936
gcn,Random,logic7,0.03921568627450983
gcn,Random,logic7,0.25925925925925924
gcn,Random,logic7,0.037037037037037035
gcn,Random,logic7,-0.1111111111111111
gcn,Random,logic7,0.16666666666666669
gcn,Random,logic7,-0.06349206349206349
gcn,Random,logic7,-0.19185645272601803
gcn,Random,logic7,-0.03243616287094553
gcn,Random,logic7,-0.046928916494134
gcn,Random,logic7,-0.015873015873015928
gcn,Random,logic7,-0.13388543823326438
gcn,Random,logic7,-0.015873015873015928
gcn,Random,logic7,-0.17736369910282967
gcn,Random,logic7,-0.10158730158730167
gcn,Random,logic7,0.14147688060731523
gcn,GradInput,logic7,0.16857142857142848
gcn,GradInput,logic7,0.1590476190476191
gcn,GradInput,logic7,0.20363636363636362
gcn,GradInput,logic7,0.03523809523809518
gcn,GradInput,logic7,0.039999999999999925
gcn,GradInput,logic7,0.0
gcn,GradInput,logic7,0.1495238095238095
gcn,GradInput,logic7,0.16000000000000003
gcn,GradInput,logic7,0.0
gcn,GradInput,logic7,0.18761904761904757
gcn,GradInput,logic7,0.08159722222222221
gcn,GradInput,logic7,-0.061677631578947345
gcn,GradInput,logic7,-0.14939692982456138
gcn,GradInput,logic7,-0.02951388888888884
gcn,GradInput,logic7,-0.015625
gcn,GradInput,logic7,-0.04803240740740744
gcn,GradInput,logic7,-0.0017361111111110494
gcn,GradInput,logic7,-0.0376838235294118
gcn,GradInput,logic7,-0.026589912280701622
gcn,GradInput,logic7,0.02113970588235281
gcn,GradInput,logic7,-0.16290726817042606
gcn,GradInput,logic7,-0.004177109440267279
gcn,GradInput,logic7,0.02280701754385961
gcn,GradInput,logic7,0.07719298245614037
gcn,GradInput,logic7,0.011695906432748537
gcn,GradInput,logic7,0.21804511278195482
gcn,GradInput,logic7,0.011695906432748537
gcn,GradInput,logic7,0.13868003341687551
gcn,GradInput,logic7,0.23391812865497064
gcn,GradInput,logic7,0.027568922305764354
gcn,GradInput,logic7,0.04086687306501546
gcn,GradInput,logic7,-0.20123839009287925
gcn,GradInput,logic7,-0.06439628482972137
gcn,GradInput,logic7,-0.06439628482972148
gcn,GradInput,logic7,0.06601307189542482
gcn,GradInput,logic7,-0.033986928104575265
gcn,GradInput,logic7,-0.02843137254901973
gcn,GradInput,logic7,-0.09597523219814241
gcn,GradInput,logic7,0.05139318885448918
gcn,GradInput,logic7,0.26125116713352003
gcn,GradInput,logic7,-0.13518518518518513
gcn,GradInput,logic7,0.11306042884990253
gcn,GradInput,logic7,0.014814814814814836
gcn,GradInput,logic7,0.031481481481481444
gcn,GradInput,logic7,0.014814814814814836
gcn,GradInput,logic7,-0.06237816764132553
gcn,GradInput,logic7,0.0981481481481482
gcn,GradInput,logic7,0.014814814814814836
gcn,GradInput,logic7,-0.0018518518518518823
gcn,GradInput,logic7,0.09551656920077978
gcn,GradInput,logic7,0.14473684210526305
gcn,GradInput,logic7,-0.18421052631578938
gcn,GradInput,logic7,0.03947368421052633
gcn,GradInput,logic7,0.14473684210526327
gcn,GradInput,logic7,0.013157894736842035
gcn,GradInput,logic7,0.11842105263157887
gcn,GradInput,logic7,0.11842105263157887
gcn,GradInput,logic7,0.013157894736842146
gcn,GradInput,logic7,0.14473684210526327
gcn,GradInput,logic7,0.14473684210526327
gcn,GradInput,logic7,0.06315789473684208
gcn,GradInput,logic7,0.13617376775271522
gcn,GradInput,logic7,-0.022556390977443552
gcn,GradInput,logic7,0.37426900584795336
gcn,GradInput,logic7,0.04093567251461988
gcn,GradInput,logic7,0.07268170426065163
gcn,GradInput,logic7,0.13617376775271522
gcn,GradInput,logic7,0.3798245614035089
gcn,GradInput,logic7,0.009189640768588136
gcn,GradInput,logic7,0.1203007518796993
gcn,GradInput,logic7,0.04334365325077394
gcn,GradInput,logic7,-0.16718266253869973
gcn,GradInput,logic7,0.022875816993464082
gcn,GradInput,logic7,0.022291021671826616
gcn,GradInput,logic7,0.022291021671826727
gcn,GradInput,logic7,-0.009287925696594423
gcn,GradInput,logic7,0.1006535947712418
gcn,GradInput,logic7,0.053869969040247656
gcn,GradInput,logic7,0.07492260061919509
gcn,GradInput,logic7,0.11702786377708974
gcn,GradInput,logic7,0.1339285714285714
gcn,GradInput,logic7,-0.0035714285714285587
gcn,GradInput,logic7,0.008928571428571397
gcn,GradInput,logic7,-0.0035714285714285587
gcn,GradInput,logic7,-0.02857142857142858
gcn,GradInput,logic7,0.008928571428571397
gcn,GradInput,logic7,0.008928571428571397
gcn,GradInput,logic7,-0.10357142857142854
gcn,GradInput,logic7,-0.02857142857142858
gcn,GradInput,logic7,-0.0035714285714285587
gcn,GradInput,logic7,-0.04292929292929293
gcn,GradInput,logic7,0.04281949934123863
gcn,GradInput,logic7,0.05429292929292939
gcn,GradInput,logic7,0.02651515151515149
gcn,GradInput,logic7,-0.0757575757575758
gcn,GradInput,logic7,0.10079051383399218
gcn,GradInput,logic7,-0.16792929292929282
gcn,GradInput,logic7,0.21818181818181825
gcn,GradInput,logic7,-0.015151515151515138
gcn,GradInput,logic7,0.12373737373737381
gcn,GradInput,logic7,0.042592592592592626
gcn,GradInput,logic7,0.14259259259259272
gcn,GradInput,logic7,-0.024074074074074137
gcn,GradInput,logic7,0.0092592592592593
gcn,GradInput,logic7,-0.1074074074074074
gcn,GradInput,logic7,0.19259259259259265
gcn,GradInput,logic7,0.14259259259259272
gcn,GradInput,logic7,-0.1074074074074074
gcn,GradInput,logic7,0.10136452241715399
gcn,GradInput,logic7,0.042592592592592626
gcn,GradInput,logic7,-0.15889724310776943
gcn,GradInput,logic7,-0.18871090770404286
gcn,GradInput,logic7,0.05766590389016013
gcn,GradInput,logic7,0.05766590389016013
gcn,GradInput,logic7,-0.13032581453634096
gcn,GradInput,logic7,0.09521531100478453
gcn,GradInput,logic7,-0.21769641495041958
gcn,GradInput,logic7,-0.18871090770404286
gcn,GradInput,logic7,-0.2032036613272311
gcn,GradInput,logic7,-0.10175438596491226
gcn,GradInput,logic7,-0.007223942208462258
gcn,GradInput,logic7,0.431372549019608
gcn,GradInput,logic7,0.01031991744066052
gcn,GradInput,logic7,0.04540763673890616
gcn,GradInput,logic7,-0.024767801857585092
gcn,GradInput,logic7,-0.024767801857585092
gcn,GradInput,logic7,-0.042311661506707926
gcn,GradInput,logic7,0.09803921568627458
gcn,GradInput,logic7,0.20330237358101141
gcn,GradInput,logic7,-0.007223942208462314
gcn,GradInput,logic7,-0.06837606837606836
gcn,GradInput,logic7,0.02051282051282044
gcn,GradInput,logic7,-0.08424908424908423
gcn,GradInput,logic7,-0.11282051282051275
gcn,GradInput,logic7,0.02051282051282055
gcn,GradInput,logic7,0.06495726495726506
gcn,GradInput,logic7,0.0871794871794872
gcn,GradInput,logic7,0.042735042735042805
gcn,GradInput,logic7,0.10940170940170946
gcn,GradInput,logic7,-0.023931623931623958
gcn,GradInput,logic7,0.017676767676767735
gcn,GradInput,logic7,0.006993006993007089
gcn,GradInput,logic7,0.006993006993007089
gcn,GradInput,logic7,-0.351981351981352
gcn,GradInput,logic7,-0.01864801864801857
gcn,GradInput,logic7,0.03263403263403264
gcn,GradInput,logic7,-0.09557109557109555
gcn,GradInput,logic7,0.03263403263403264
gcn,GradInput,logic7,-0.17249417249417243
gcn,GradInput,logic7,-0.1212121212121211
gcn,GradInput,logic7,0.05882352941176483
gcn,GradInput,logic7,0.015479876160990724
gcn,GradInput,logic7,0.05882352941176472
gcn,GradInput,logic7,-0.0020639834881320818
gcn,GradInput,logic7,0.01547987616099078
gcn,GradInput,logic7,0.085655314757482
gcn,GradInput,logic7,0.15583075335397323
gcn,GradInput,logic7,0.11002178649237476
gcn,GradInput,logic7,0.41898864809081526
gcn,GradInput,logic7,0.085655314757482
gcn,GradInput,logic7,0.22878787878787882
gcn,GradInput,logic7,0.06212121212121208
gcn,GradInput,logic7,-0.013636363636363724
gcn,GradInput,logic7,-0.013636363636363669
gcn,GradInput,logic7,-0.028787878787878807
gcn,GradInput,logic7,0.06666666666666671
gcn,GradInput,logic7,-0.013636363636363613
gcn,GradInput,logic7,0.22878787878787882
gcn,GradInput,logic7,-0.05909090909090914
gcn,GradInput,logic7,-0.04393939393939389
gcn,GradInput,logic7,0.2848788638262323
gcn,GradInput,logic7,0.0
gcn,GradInput,logic7,-0.02543859649122815
gcn,GradInput,logic7,-0.04210526315789476
gcn,GradInput,logic7,-0.016708437761069395
gcn,GradInput,logic7,-0.058771929824561475
gcn,GradInput,logic7,-0.06432748538011696
gcn,GradInput,logic7,-0.06432748538011701
gcn,GradInput,logic7,-0.03508771929824561
gcn,GradInput,logic7,0.015037593984962294
gcn,GradInput,logic7,-0.0008333333333333526
gcn,GradInput,logic7,-0.08833333333333326
gcn,GradInput,logic7,-0.13098039215686286
gcn,GradInput,logic7,0.02416666666666667
gcn,GradInput,logic7,-0.20156862745098036
gcn,GradInput,logic7,-0.07215686274509803
gcn,GradInput,logic7,-0.20156862745098036
gcn,GradInput,logic7,-0.0008333333333333526
gcn,GradInput,logic7,-0.10083333333333344
gcn,GradInput,logic7,-0.15450980392156854
gcn,GradInput,logic7,0.24404761904761907
gcn,GradInput,logic7,-0.08385093167701863
gcn,GradInput,logic7,-0.15746753246753253
gcn,GradInput,logic7,0.06832298136645965
gcn,GradInput,logic7,-0.018633540372670843
gcn,GradInput,logic7,0.08116883116883111
gcn,GradInput,logic7,0.04960317460317454
gcn,GradInput,logic7,-0.05124223602484468
gcn,GradInput,logic7,0.09006211180124224
gcn,GradInput,logic7,0.05745341614906829
gcn,GradInput,logic7,0.04166666666666663
gcn,GradInput,logic7,0.06944444444444442
gcn,GradInput,logic7,0.23611111111111116
gcn,GradInput,logic7,-0.06521739130434784
gcn,GradInput,logic7,0.01388888888888884
gcn,GradInput,logic7,0.13888888888888895
gcn,GradInput,logic7,0.04166666666666663
gcn,GradInput,logic7,0.0652173913043479
gcn,GradInput,logic7,0.2777777777777778
gcn,GradInput,logic7,0.04166666666666663
gcn,GradInput,logic7,0.06491228070175459
gcn,GradInput,logic7,0.07602339181286555
gcn,GradInput,logic7,-0.0350877192982455
gcn,GradInput,logic7,0.028404344193817876
gcn,GradInput,logic7,0.16491228070175445
gcn,GradInput,logic7,-0.06683375104427736
gcn,GradInput,logic7,0.044277360066833804
gcn,GradInput,logic7,-0.1267543859649123
gcn,GradInput,logic7,0.07602339181286555
gcn,GradInput,logic7,0.060745614035087714
gcn,GradInput,logic7,0.030158730158730107
gcn,GradInput,logic7,0.2523809523809524
gcn,GradInput,logic7,-0.033333333333333326
gcn,GradInput,logic7,-0.09682539682539687
gcn,GradInput,logic7,0.17878787878787872
gcn,GradInput,logic7,0.042424242424242364
gcn,GradInput,logic7,0.2523809523809524
gcn,GradInput,logic7,0.17878787878787872
gcn,GradInput,logic7,0.012121212121212088
gcn,GradInput,logic7,0.06190476190476191
gcn,GradInput,logic7,0.03508771929824561
gcn,GradInput,logic7,0.003341687552213868
gcn,GradInput,logic7,0.13032581453634084
gcn,GradInput,logic7,0.019214703425229684
gcn,GradInput,logic7,0.05096073517126154
gcn,GradInput,logic7,0.03508771929824572
gcn,GradInput,logic7,0.09857978279030921
gcn,GradInput,logic7,-0.04427736006683369
gcn,GradInput,logic7,-0.028404344193817876
gcn,GradInput,logic7,0.1350877192982457
gcn,GradInput,logic7,-0.07864357864357874
gcn,GradInput,logic7,0.08143547273982055
gcn,GradInput,logic7,0.08143547273982055
gcn,GradInput,logic7,-0.02001380262249841
gcn,GradInput,logic7,0.07287157287157275
gcn,GradInput,logic7,-0.12146307798481726
gcn,GradInput,logic7,-0.03450655624568677
gcn,GradInput,logic7,-0.12146307798481726
gcn,GradInput,logic7,-0.09379509379509388
gcn,GradInput,logic7,0.00897170462387853
gcn,GradInput,logic7,-0.09696969696969704
gcn,GradInput,logic7,-0.11212121212121218
gcn,GradInput,logic7,-0.06666666666666676
gcn,GradInput,logic7,-0.06999999999999995
gcn,GradInput,logic7,-0.18787878787878787
gcn,GradInput,logic7,0.020000000000000018
gcn,GradInput,logic7,-0.26363636363636367
gcn,GradInput,logic7,-0.12222222222222223
gcn,GradInput,logic7,-0.036363636363636376
