Model,Attribution Technique,task_type,del(AttAUROC)
gcn,Random,logic7,0.34168755221386793
gcn,Random,logic7,0.08771929824561406
gcn,Random,logic7,0.14327485380116964
gcn,Random,logic7,0.19883040935672516
gcn,Random,logic7,0.2710526315789473
gcn,Random,logic7,0.07184628237259813
gcn,Random,logic7,0.2596491228070176
gcn,Random,logic7,0.35756056808688397
gcn,Random,logic7,0.18771929824561398
gcn,Random,logic7,0.42105263157894735
gcn,Random,logic7,0.011695906432748565
gcn,Random,logic7,0.03947368421052633
gcn,Random,logic7,0.2339181286549708
gcn,Random,logic7,0.26566416040100255
gcn,Random,logic7,0.45614035087719296
gcn,Random,logic7,0.17042606516290731
gcn,Random,logic7,0.10614035087719298
gcn,Random,logic7,0.15455304928989144
gcn,Random,logic7,-0.027192982456140324
gcn,Random,logic7,0.011695906432748565
gcn,Random,logic7,0.30743525480367584
gcn,Random,logic7,0.529657477025898
gcn,Random,logic7,0.11140350877192978
gcn,Random,logic7,0.13283208020050125
gcn,Random,logic7,-0.04177109440267335
gcn,Random,logic7,0.18045112781954886
gcn,Random,logic7,0.2598162071846282
gcn,Random,logic7,0.16140350877192983
gcn,Random,logic7,0.18045112781954886
gcn,Random,logic7,0.38680033416875526
gcn,Random,logic7,-0.26418988648090813
gcn,Random,logic7,0.1753812636165577
gcn,Random,logic7,-0.21155830753353966
gcn,Random,logic7,-0.36945304437564497
gcn,Random,logic7,-0.2115583075335397
gcn,Random,logic7,-0.053663570691434404
gcn,Random,logic7,-0.22910216718266246
gcn,Random,logic7,0.13931888544891646
gcn,Random,logic7,0.04313725490196085
gcn,Random,logic7,-0.12383900928792568
gcn,Random,logic7,0.19785575048732948
gcn,Random,logic7,0.16276803118908387
gcn,Random,logic7,0.02592592592592588
gcn,Random,logic7,0.2592592592592593
gcn,Random,logic7,0.09259259259259264
gcn,Random,logic7,0.2329434697855751
gcn,Random,logic7,0.2777777777777778
gcn,Random,logic7,0.0425925925925926
gcn,Random,logic7,0.32592592592592595
gcn,Random,logic7,0.19259259259259257
gcn,Random,logic7,0.2129629629629629
gcn,Random,logic7,0.012962962962962954
gcn,Random,logic7,0.0796296296296296
gcn,Random,logic7,0.12085769980506822
gcn,Random,logic7,0.3313840155945419
gcn,Random,logic7,0.1518518518518519
gcn,Random,logic7,0.1962962962962963
gcn,Random,logic7,0.17962962962962958
gcn,Random,logic7,-0.12037037037037038
gcn,Random,logic7,0.029629629629629617
gcn,Random,logic7,0.03425229741019209
gcn,Random,logic7,-0.013366750208855471
gcn,Random,logic7,0.08187134502923976
gcn,Random,logic7,-0.06098579782790314
gcn,Random,logic7,0.177109440267335
gcn,Random,logic7,0.14536340852130325
gcn,Random,logic7,0.2723475355054302
gcn,Random,logic7,0.09774436090225558
gcn,Random,logic7,-0.007017543859649145
gcn,Random,logic7,0.0025062656641603454
gcn,Random,logic7,0.13868003341687551
gcn,Random,logic7,-0.31052631578947376
gcn,Random,logic7,0.04344193817878017
gcn,Random,logic7,0.1394736842105263
gcn,Random,logic7,0.17280701754385963
gcn,Random,logic7,0.08947368421052626
gcn,Random,logic7,-0.020050125313283318
gcn,Random,logic7,0.056140350877192935
gcn,Random,logic7,-0.16290726817042606
gcn,Random,logic7,-0.09941520467836257
gcn,Random,logic7,0.34068627450980393
gcn,Random,logic7,-0.08796296296296294
gcn,Random,logic7,0.44907407407407407
gcn,Random,logic7,0.3194444444444444
gcn,Random,logic7,0.3161764705882353
gcn,Random,logic7,0.2573529411764707
gcn,Random,logic7,0.07870370370370372
gcn,Random,logic7,0.18981481481481483
gcn,Random,logic7,0.28240740740740733
gcn,Random,logic7,0.12009803921568629
gcn,Random,logic7,0.06052631578947376
gcn,Random,logic7,0.11885964912280711
gcn,Random,logic7,0.020050125313283207
gcn,Random,logic7,0.31052631578947365
gcn,Random,logic7,0.14703425229741018
gcn,Random,logic7,0.2271929824561404
gcn,Random,logic7,-0.10614035087719298
gcn,Random,logic7,0.2263993316624896
gcn,Random,logic7,-0.02756892230576441
gcn,Random,logic7,0.09941520467836262
gcn,Random,logic7,0.008563899868247682
gcn,Random,logic7,0.030303030303030276
gcn,Random,logic7,-0.13636363636363635
gcn,Random,logic7,0.044191919191919116
gcn,Random,logic7,0.1969696969696969
gcn,Random,logic7,0.11363636363636365
gcn,Random,logic7,0.008563899868247682
gcn,Random,logic7,-0.10737812911725958
gcn,Random,logic7,0.0997474747474747
gcn,Random,logic7,0.1969696969696969
gcn,Random,logic7,0.07114624505928852
gcn,Random,logic7,0.03914141414141409
gcn,Random,logic7,-0.002525252525252597
gcn,Random,logic7,0.16414141414141403
gcn,Random,logic7,-0.016414141414141437
gcn,Random,logic7,-0.196969696969697
gcn,Random,logic7,-0.1691919191919192
gcn,Random,logic7,-0.11363636363636365
gcn,Random,logic7,-0.17523056653491437
gcn,Random,logic7,-0.016414141414141437
gcn,Random,logic7,-0.1782407407407408
gcn,Random,logic7,0.06249999999999989
gcn,Random,logic7,-0.06712962962962976
gcn,Random,logic7,-0.12268518518518529
gcn,Random,logic7,-0.14120370370370378
gcn,Random,logic7,-0.19166666666666676
gcn,Random,logic7,0.04583333333333328
gcn,Random,logic7,-0.09166666666666679
gcn,Random,logic7,-0.030092592592592782
gcn,Random,logic7,-0.06712962962962976
gcn,Random,logic7,-0.0010319917440659854
gcn,Random,logic7,-0.009803921568627416
gcn,Random,logic7,0.12177502579979371
gcn,Random,logic7,-0.08875128998968007
gcn,Random,logic7,0.027233115468409563
gcn,Random,logic7,0.08278867102396514
gcn,Random,logic7,0.23093681917211328
gcn,Random,logic7,0.28649237472766886
gcn,Random,logic7,-0.07120743034055721
gcn,Random,logic7,-0.07120743034055727
gcn,Random,logic7,-0.14870509607351712
gcn,Random,logic7,-0.14870509607351712
gcn,Random,logic7,0.021929824561403577
gcn,Random,logic7,-0.06934001670843776
gcn,Random,logic7,-0.08521303258145363
gcn,Random,logic7,-0.24394319131161235
gcn,Random,logic7,-0.4502923976608187
gcn,Random,logic7,-0.19632414369256468
gcn,Random,logic7,-0.37092731829573933
gcn,Random,logic7,-0.14870509607351712
gcn,Random,logic7,-0.07459207459207465
gcn,Random,logic7,0.1561771561771562
gcn,Random,logic7,0.3613053613053613
gcn,Random,logic7,0.07925407925407921
gcn,Random,logic7,-0.04895104895104896
gcn,Random,logic7,0.2843822843822844
gcn,Random,logic7,0.09848484848484848
gcn,Random,logic7,0.43822843822843827
gcn,Random,logic7,0.20745920745920746
gcn,Random,logic7,0.053613053613053574
gcn,Random,logic7,0.06015037593984962
gcn,Random,logic7,-0.01842105263157895
gcn,Random,logic7,0.09189640768588136
gcn,Random,logic7,-0.0017543859649122862
gcn,Random,logic7,-0.018421052631579005
gcn,Random,logic7,-0.03508771929824567
gcn,Random,logic7,-0.03508771929824556
gcn,Random,logic7,-0.17794486215538843
gcn,Random,logic7,0.13951545530492898
gcn,Random,logic7,0.03157894736842104
gcn,Random,logic7,0.20454545454545459
gcn,Random,logic7,-0.06818181818181818
gcn,Random,logic7,-0.06818181818181818
gcn,Random,logic7,0.15909090909090906
gcn,Random,logic7,0.02777777777777779
gcn,Random,logic7,0.1742424242424242
gcn,Random,logic7,0.09848484848484851
gcn,Random,logic7,0.037878787878787956
gcn,Random,logic7,0.10333333333333339
gcn,Random,logic7,0.04365079365079372
gcn,Random,logic7,0.16581196581196583
gcn,Random,logic7,0.18803418803418803
gcn,Random,logic7,-0.03418803418803415
gcn,Random,logic7,0.1658119658119659
gcn,Random,logic7,0.27692307692307694
gcn,Random,logic7,0.23247863247863249
gcn,Random,logic7,0.2257326007326007
gcn,Random,logic7,0.05470085470085473
gcn,Random,logic7,0.2102564102564103
gcn,Random,logic7,0.27692307692307694
gcn,Random,logic7,0.2135076252723312
gcn,Random,logic7,-0.016511867905056765
gcn,Random,logic7,-0.05159958720330238
gcn,Random,logic7,-0.2796697626418988
gcn,Random,logic7,-0.1042311661506708
gcn,Random,logic7,0.0010319917440660409
gcn,Random,logic7,0.07120743034055727
gcn,Random,logic7,-0.06914344685242518
gcn,Random,logic7,-0.29721362229102166
gcn,Random,logic7,0.03611971104231165
gcn,Random,logic7,-0.026666666666666616
gcn,Random,logic7,0.032539682539682535
gcn,Random,logic7,0.19126984126984126
gcn,Random,logic7,0.12272727272727268
gcn,Random,logic7,0.1984848484848485
gcn,Random,logic7,0.1595238095238095
gcn,Random,logic7,-0.11969696969696972
gcn,Random,logic7,0.09242424242424241
gcn,Random,logic7,-0.02878787878787875
