Technique,Model,task_type,random_seed,parc
CAM,gcn,ester-benzene,42,0.3533333333333333
CAM,gcn,ester-benzene,43,0.6399999999999998
CAM,gcn,ester-benzene,44,0.4599999999999999
CAM,gcn,ester-benzene,45,0.25333333333333324
CAM,gcn,ester-benzene,46,0.7199999999999999
CAM,gcn,ester-benzene,47,0.5933333333333333
CAM,gcn,ester-benzene,48,0.5399999999999999
CAM,gcn,ester-benzene,49,0.2866666666666666
CAM,gcn,ester-benzene,50,0.5866666666666666
CAM,gcn,ester-benzene,51,0.4999999999999999
CAM,gcn,ester-phenyl,42,0.12666666666666662
CAM,gcn,ester-phenyl,43,0.24666666666666665
CAM,gcn,ester-phenyl,44,0.46666666666666656
CAM,gcn,ester-phenyl,45,0.5866666666666666
CAM,gcn,ester-phenyl,46,0.6066666666666666
CAM,gcn,ester-phenyl,47,0.4999999999999999
CAM,gcn,ester-phenyl,48,0.6533333333333332
CAM,gcn,ester-phenyl,49,0.6533333333333332
CAM,gcn,ester-phenyl,50,0.37999999999999995
CAM,gcn,ester-phenyl,51,0.4599999999999999
CAM,gcn,morpholine-benzene,42,0.2536231884057971
CAM,gcn,morpholine-benzene,43,-0.05333333333333332
CAM,gcn,morpholine-benzene,44,0.2133333333333333
CAM,gcn,morpholine-benzene,45,0.10666666666666665
CAM,gcn,morpholine-benzene,46,0.39333333333333326
CAM,gcn,morpholine-benzene,47,0.08666666666666664
CAM,gcn,morpholine-benzene,48,0.19999999999999996
CAM,gcn,morpholine-benzene,49,0.11333333333333331
CAM,gcn,morpholine-benzene,50,0.18666666666666662
CAM,gcn,morpholine-benzene,51,0.10666666666666665
CAM,gcn,piperdine-benzene,42,0.4599999999999999
CAM,gcn,piperdine-benzene,43,-0.09333333333333331
CAM,gcn,piperdine-benzene,44,0.5933333333333333
CAM,gcn,piperdine-benzene,45,0.525691699604743
CAM,gcn,piperdine-benzene,46,0.42028985507246375
CAM,gcn,piperdine-benzene,47,0.29999999999999993
CAM,gcn,piperdine-benzene,48,0.019999999999999993
CAM,gcn,piperdine-benzene,49,0.4133333333333333
CAM,gcn,piperdine-benzene,50,-0.11333333333333331
CAM,gcn,piperdine-benzene,51,0.17999999999999997
CAM,gcn,unbrch_alkane-benzene,42,0.5133333333333333
