task_type,Technique,block_type,random_seed,Kendall Tau
benzene,CAM,gcn,42,0.7733031587326508
benzene,GradInput,gcn,42,0.10126588983403761
benzene,GradCAM-last,gcn,42,0.6536252889287882
benzene,GradCAM-all,gcn,42,0.35443061441913165
benzene,SmoothGrad(GradInput),gcn,42,0.17951680470579395
benzene,IG,gcn,42,0.49712345918527556
logic7,CAM,gcn,42,0.4850574712643679
logic7,GradInput,gcn,42,0.2689655172413793
logic7,GradCAM-last,gcn,42,0.28735632183908044
logic7,GradCAM-all,gcn,42,0.13563218390804596
logic7,SmoothGrad(GradInput),gcn,42,0.3517241379310345
logic7,IG,gcn,42,0.3517241379310345
logic8,CAM,gcn,42,0.8160919540229885
logic8,GradInput,gcn,42,-0.3977011494252874
logic8,GradCAM-last,gcn,42,0.36551724137931035
logic8,GradCAM-all,gcn,42,0.2735632183908046
logic8,SmoothGrad(GradInput),gcn,42,-0.19080459770114944
logic8,IG,gcn,42,0.4758620689655172
logic10,CAM,gcn,42,0.5402298850574713
logic10,GradInput,gcn,42,-0.02528735632183908
logic10,GradCAM-last,gcn,42,0.4114942528735632
logic10,GradCAM-all,gcn,42,0.44367816091954027
logic10,SmoothGrad(GradInput),gcn,42,0.06206896551724138
logic10,IG,gcn,42,0.5540229885057472
benzene,CAM,graphnet,42,0.1933257896831627
benzene,GradInput,graphnet,42,-0.15189883475105642
benzene,GradCAM-last,graphnet,42,-0.12888385978877515
benzene,GradCAM-all,graphnet,42,0.1657078197284252
benzene,SmoothGrad(GradInput),graphnet,42,-0.2991946745096566
benzene,IG,graphnet,42,0.17951680470579395
logic7,CAM,graphnet,42,-0.39310344827586213
logic7,GradInput,graphnet,42,0.02528735632183908
logic7,GradCAM-last,graphnet,42,-0.3885057471264368
logic7,GradCAM-all,graphnet,42,0.2735632183908046
logic7,SmoothGrad(GradInput),graphnet,42,-0.07126436781609195
logic7,IG,graphnet,42,0.37931034482758624
logic8,CAM,graphnet,42,0.48965517241379314
logic8,GradInput,graphnet,42,0.3885057471264368
logic8,GradCAM-last,graphnet,42,0.33793103448275863
logic8,GradCAM-all,graphnet,42,0.5954022988505747
logic8,SmoothGrad(GradInput),graphnet,42,0.3885057471264368
logic8,IG,graphnet,42,0.42528735632183906
logic10,CAM,graphnet,42,0.21379310344827587
logic10,GradInput,graphnet,42,0.07126436781609195
logic10,GradCAM-last,graphnet,42,0.30574712643678165
logic10,GradCAM-all,graphnet,42,0.67816091954023
logic10,SmoothGrad(GradInput),graphnet,42,0.0942528735632184
logic10,IG,graphnet,42,0.48965517241379314
benzene,CAM,mpnn,42,0.8758620689655172
benzene,GradInput,mpnn,42,0.18620689655172415
benzene,GradCAM-last,mpnn,42,0.48965517241379314
benzene,GradCAM-all,mpnn,42,0.5862068965517242
benzene,SmoothGrad(GradInput),mpnn,42,0.26436781609195403
benzene,IG,mpnn,42,0.3425287356321839
logic7,CAM,mpnn,42,0.4114942528735632
logic7,GradInput,mpnn,42,-0.006896551724137931
logic7,GradCAM-last,mpnn,42,0.2689655172413793
logic7,GradCAM-all,mpnn,42,0.2781609195402299
logic7,SmoothGrad(GradInput),mpnn,42,-0.03448275862068966
logic7,IG,mpnn,42,0.19999999999999998
logic8,CAM,mpnn,42,0.7747126436781608
logic8,GradInput,mpnn,42,0.36091954022988504
logic8,GradCAM-last,mpnn,42,0.6367816091954024
logic8,GradCAM-all,mpnn,42,0.4298850574712643
logic8,SmoothGrad(GradInput),mpnn,42,0.36091954022988504
logic8,IG,mpnn,42,0.4344827586206897
logic10,CAM,mpnn,42,0.6045977011494253
logic10,GradInput,mpnn,42,0.2367816091954023
logic10,GradCAM-last,mpnn,42,0.6505747126436782
logic10,GradCAM-all,mpnn,42,0.48045977011494256
logic10,SmoothGrad(GradInput),mpnn,42,0.37931034482758624
logic10,IG,mpnn,42,0.5218390804597701
benzene,GradInput,gcn,43,-0.08571428571428572
benzene,SmoothGrad(GradInput),gcn,43,-0.12380952380952381
benzene,GradCAM-last,gcn,43,0.33333333333333337
benzene,GradCAM-all,gcn,43,0.3523809523809524
benzene,CAM,gcn,43,0.7904761904761906
benzene,IG,gcn,43,0.40952380952380957
benzene,GradInput,gcn,44,0.10476190476190476
benzene,SmoothGrad(GradInput),gcn,44,0.2571428571428572
