batch_size,block_type,edge_size,epochs,global_size,l2_reg,learning_rate,n_layers,node_size,random_seed,task_type,use_saver,ATT AUROC,ATT F1,ATT ACC,AUROC,F1,ACC,Task,Technique,Model,ATT tau,ATT r,R2,RMSE,tau,r
256,gcn,20,100,100,1e-05,0.0003,3,50,42,benzene,True,0.9865760393642804,0.4834663510648428,0.9860239598706322,1.0,1.0,1.0,benzene,CAM,gcn,,,,,,
256,gcn,20,100,100,1e-05,0.0003,3,50,42,benzene,True,0.6720482911524649,0.3148889418218247,0.4478755740189239,1.0,1.0,1.0,benzene,GradInput,gcn,,,,,,
256,gcn,20,100,100,1e-05,0.0003,3,50,42,benzene,True,0.7050190435027324,0.3166197258153203,0.5061469227937264,1.0,1.0,1.0,benzene,GradCAM-last,gcn,,,,,,
256,gcn,20,100,100,1e-05,0.0003,3,50,42,benzene,True,0.734074681704254,0.3200082817565647,0.4808741156473125,1.0,1.0,1.0,benzene,GradCAM-all,gcn,,,,,,
256,gcn,20,100,100,1e-05,0.0003,3,50,42,benzene,True,0.6847881224757443,0.31449503012619523,0.4426872470472723,1.0,1.0,1.0,benzene,SmoothGrad(GradInput),gcn,,,,,,
256,gcn,20,100,100,1e-05,0.0003,3,50,42,benzene,True,0.939298859728283,0.4179529826005247,0.9406521955981456,1.0,1.0,1.0,benzene,IG,gcn,,,,,,
256,gcn,20,100,100,1e-05,0.0003,3,50,42,benzene,True,0.9537393177361356,0.4220785854789285,0.9503604183550892,0.9998689998689998,0.9965017491254372,0.9965,benzene,CAM,gcn,,,,,,
256,gcn,20,100,100,1e-05,0.0003,3,50,42,benzene,True,0.5981745322680995,0.2732470175778384,0.4118113809548239,0.9998689998689998,0.9965017491254372,0.9965,benzene,GradInput,gcn,,,,,,
256,gcn,20,100,100,1e-05,0.0003,3,50,42,benzene,True,0.7047943789752354,0.29537227831115553,0.6559518314597527,0.9998689998689998,0.9965017491254372,0.9965,benzene,GradCAM-last,gcn,,,,,,
256,gcn,20,100,100,1e-05,0.0003,3,50,42,benzene,True,0.6032531033595275,0.2646880735313453,0.186300830253338,0.9998689998689998,0.9965017491254372,0.9965,benzene,GradCAM-all,gcn,,,,,,
256,gcn,20,100,100,1e-05,0.0003,3,50,42,benzene,True,0.6183974297307058,0.2725866894807542,0.4075817006056156,0.9998689998689998,0.9965017491254372,0.9965,benzene,SmoothGrad(GradInput),gcn,,,,,,
256,gcn,20,100,100,1e-05,0.0003,3,50,42,benzene,True,0.9683088053436566,0.43533975799295055,0.9399423372846362,0.9998689998689998,0.9965017491254372,0.9965,benzene,IG,gcn,,,,,,
256,gcn,20,100,100,1e-05,0.0003,3,50,42,benzene,True,0.9446434809930252,0.4194799839122057,0.9466765612620022,0.9968899968899968,0.9747474747474748,0.975,benzene,CAM,gcn,,,,,,
256,gcn,20,100,100,1e-05,0.0003,3,50,42,benzene,True,0.5619927699363829,0.2739007790462682,0.32657731485490776,0.9968899968899968,0.9747474747474748,0.975,benzene,GradInput,gcn,,,,,,
256,gcn,20,100,100,1e-05,0.0003,3,50,42,benzene,True,0.7375856270020499,0.3130901237030546,0.6676489691854188,0.9968899968899968,0.9747474747474748,0.975,benzene,GradCAM-last,gcn,,,,,,
256,gcn,20,100,100,1e-05,0.0003,3,50,42,benzene,True,0.6348167241495128,0.275848904924375,0.4973041690851849,0.9968899968899968,0.9747474747474748,0.975,benzene,GradCAM-all,gcn,,,,,,
256,gcn,20,100,100,1e-05,0.0003,3,50,42,benzene,True,0.5718563130031138,0.2737980782873052,0.36670822383418544,0.9968899968899968,0.9747474747474748,0.975,benzene,SmoothGrad(GradInput),gcn,,,,,,
256,gcn,20,100,100,1e-05,0.0003,3,50,42,benzene,True,0.9340862593100367,0.40701419754757107,0.8807542668946755,0.9968899968899968,0.9747474747474748,0.975,benzene,IG,gcn,,,,,,
256,gcn,20,100,100,1e-05,0.0003,3,50,42,benzene,True,0.8429587214413352,0.3617300560129744,0.8360822451843337,0.953853953853954,0.887481734047735,0.8845,benzene,CAM,gcn,,,,,,
256,gcn,20,100,100,1e-05,0.0003,3,50,42,benzene,True,0.4884508358449133,0.2646880735313453,0.186300830253338,0.953853953853954,0.887481734047735,0.8845,benzene,GradInput,gcn,,,,,,
